DIVISION   |   DATA   |   HOME TEAM   |   AWAY TEAM   |   HT GOALS   |   AT AWAY   |   FT RESULT
Div   Invalid date   HomeTeam   AwayTeam   FTHG   FTAG   FTR
E0   2011-08-13   Blackburn   Wolves   1   2   A
E0   2011-08-13   Fulham   Aston Villa   0   0   D
E0   2011-08-13   Liverpool   Sunderland   1   1   D
E0   2011-08-13   Newcastle   Arsenal   0   0   D
E0   2011-08-13   QPR   Bolton   0   4   A
E0   2011-08-13   Wigan   Norwich   1   1   D
E0   2011-08-14   Stoke   Chelsea   0   0   D
E0   2011-08-14   West Brom   Man United   1   2   A
DIVISION   |   DATA   |   HOME TEAM   |   AWAY TEAM   |   HT GOALS   |   AT AWAY   |   FT RESULT
Div   Invalid date   HomeTeam   AwayTeam   FTHG   FTAG   FTR
E0   2010-08-14   Aston Villa   West Ham   3   0   H
E0   2010-08-14   Blackburn   Everton   1   0   H
E0   2010-08-14   Bolton   Fulham   0   0   D
E0   2010-08-14   Chelsea   West Brom   6   0   H
E0   2010-08-14   Sunderland   Birmingham   2   2   D
E0   2010-08-14   Tottenham   Man City   0   0   D
E0   2010-08-14   Wigan   Blackpool   0   4   A
E0   2010-08-14   Wolves   Stoke   2   1   H
DIVISION   |   DATA   |   HOME TEAM   |   AWAY TEAM   |   HT GOALS   |   AT AWAY   |   FT RESULT
Div   Invalid date   HomeTeam   AwayTeam   FTHG   FTAG   FTR
E0   2009-08-15   Aston Villa   Wigan   0   2   A
E0   2009-08-15   Blackburn   Man City   0   2   A
E0   2009-08-15   Bolton   Sunderland   0   1   A
E0   2009-08-15   Chelsea   Hull   2   1   H
E0   2009-08-15   Everton   Arsenal   1   6   A
E0   2009-08-15   Portsmouth   Fulham   0   1   A
E0   2009-08-15   Stoke   Burnley   2   0   H
E0   2009-08-15   Wolves   West Ham   0   2   A
DIVISION   |   DATA   |   HOME TEAM   |   AWAY TEAM   |   HT GOALS   |   AT AWAY   |   FT RESULT
Div   Invalid date   HomeTeam   AwayTeam   FTHG   FTAG   FTR
E0   2012-08-18   Arsenal   Sunderland   0   0   D
E0   2012-08-18   Fulham   Norwich   5   0   H
E0   2012-08-18   Newcastle   Tottenham   2   1   H
E0   2012-08-18   QPR   Swansea   0   5   A
E0   2012-08-18   Reading   Stoke   1   1   D
E0   2012-08-18   West Brom   Liverpool   3   0   H
E0   2012-08-18   West Ham   Aston Villa   1   0   H
E0   2012-08-19   Man City   Southampton   3   2   H
DIVISION   |   DATA   |   HOME TEAM   |   AWAY TEAM   |   HT GOALS   |   AT AWAY   |   FT RESULT
Div   Invalid date   HomeTeam   AwayTeam   FTHG   FTAG   FTR
E0   2013-08-17   Arsenal   Aston Villa   1   3   A
E0   2013-08-17   Liverpool   Stoke   1   0   H
E0   2013-08-17   Norwich   Everton   2   2   D
E0   2013-08-17   Sunderland   Fulham   0   1   A
E0   2013-08-17   Swansea   Man United   1   4   A
E0   2013-08-17   West Brom   Southampton   0   1   A
E0   2013-08-17   West Ham   Cardiff   2   0   H
E0   2013-08-18   Chelsea   Hull   2   0   H
E0   2013-08-18   Crystal Palace   Tottenham   0   1   A
E0   2011-08-15   Man City   Swansea   4   0   H
E0   2011-08-20   Arsenal   Liverpool   0   2   A
E0   2011-08-20   Aston Villa   Blackburn   3   1   H
E0   2011-08-20   Chelsea   West Brom   2   1   H
E0   2011-08-20   Everton   QPR   0   1   A
E0   2011-08-20   Sunderland   Newcastle   0   1   A
E0   2011-08-20   Swansea   Wigan   0   0   D
E0   2011-08-21   Bolton   Man City   2   3   A
E0   2011-08-21   Norwich   Stoke   1   1   D
E0   2011-08-21   Wolves   Fulham   2   0   H
E0   2011-08-22   Man United   Tottenham   3   0   H
E0   2011-08-27   Aston Villa   Wolves   0   0   D
E0   2011-08-27   Blackburn   Everton   0   1   A
E0   2011-08-27   Chelsea   Norwich   3   1   H
E0   2011-08-27   Liverpool   Bolton   3   1   H
E0   2010-08-15   Liverpool   Arsenal   1   1   D
E0   2010-08-16   Man United   Newcastle   3   0   H
E0   2010-08-21   Arsenal   Blackpool   6   0   H
E0   2010-08-21   Birmingham   Blackburn   2   1   H
E0   2010-08-21   Everton   Wolves   1   1   D
E0   2010-08-21   Stoke   Tottenham   1   2   A
E0   2010-08-21   West Brom   Sunderland   1   0   H
E0   2010-08-21   West Ham   Bolton   1   3   A
E0   2010-08-21   Wigan   Chelsea   0   6   A
E0   2010-08-22   Fulham   Man United   2   2   D
E0   2010-08-22   Newcastle   Aston Villa   6   0   H
E0   2010-08-23   Man City   Liverpool   3   0   H
E0   2010-08-28   Blackburn   Arsenal   1   2   A
E0   2010-08-28   Blackpool   Fulham   2   2   D
E0   2010-08-28   Chelsea   Stoke   2   0   H
E0   2009-08-16   Man United   Birmingham   1   0   H
E0   2009-08-16   Tottenham   Liverpool   2   1   H
E0   2009-08-18   Sunderland   Chelsea   1   3   A
E0   2009-08-18   Wigan   Wolves   0   1   A
E0   2009-08-19   Birmingham   Portsmouth   1   0   H
E0   2009-08-19   Burnley   Man United   1   0   H
E0   2009-08-19   Hull   Tottenham   1   5   A
E0   2009-08-19   Liverpool   Stoke   4   0   H
E0   2009-08-22   Arsenal   Portsmouth   4   1   H
E0   2009-08-22   Birmingham   Stoke   0   0   D
E0   2009-08-22   Hull   Bolton   1   0   H
E0   2009-08-22   Man City   Wolves   1   0   H
E0   2009-08-22   Sunderland   Blackburn   2   1   H
E0   2009-08-22   Wigan   Man United   0   5   A
E0   2009-08-23   Burnley   Everton   1   0   H
E0   2009-08-23   Fulham   Chelsea   0   2   A
E0   2012-08-19   Wigan   Chelsea   0   2   A
E0   2012-08-20   Everton   Man United   1   0   H
E0   2012-08-22   Chelsea   Reading   4   2   H
E0   2012-08-25   Aston Villa   Everton   1   3   A
E0   2012-08-25   Chelsea   Newcastle   2   0   H
E0   2012-08-25   Man United   Fulham   3   2   H
E0   2012-08-25   Norwich   QPR   1   1   D
E0   2012-08-25   Southampton   Wigan   0   2   A
E0   2012-08-25   Swansea   West Ham   3   0   H
E0   2012-08-25   Tottenham   West Brom   1   1   D
E0   2012-08-26   Liverpool   Man City   2   2   D
E0   2012-08-26   Stoke   Arsenal   0   0   D
E0   2012-09-01   Man City   QPR   3   1   H
E0   2012-09-01   Swansea   Sunderland   2   2   D
E0   2012-09-01   Tottenham   Norwich   1   1   D
E0   2012-09-01   West Brom   Everton   2   0   H
E0   2013-08-19   Man City   Newcastle   4   0   H
E0   2013-08-21   Chelsea   Aston Villa   2   1   H
E0   2013-08-24   Aston Villa   Liverpool   0   1   A
E0   2013-08-24   Everton   West Brom   0   0   D
E0   2013-08-24   Fulham   Arsenal   1   3   A
E0   2013-08-24   Hull   Norwich   1   0   H
E0   2013-08-24   Newcastle   West Ham   0   0   D
E0   2013-08-24   Southampton   Sunderland   1   1   D
E0   2013-08-24   Stoke   Crystal Palace   2   1   H
E0   2013-08-25   Cardiff   Man City   3   2   H
E0   2013-08-25   Tottenham   Swansea   1   0   H
E0   2013-08-26   Man United   Chelsea   0   0   D
E0   2013-08-31   Cardiff   Everton   0   0   D
E0   2013-08-31   Crystal Palace   Sunderland   3   1   H
E0   2013-08-31   Man City   Hull   2   0   H
E0   2013-08-31   Newcastle   Fulham   1   0   H
E0   2013-08-31   Norwich   Southampton   1   0   H
E0   2011-08-27   Swansea   Sunderland   0   0   D
E0   2011-08-27   Wigan   QPR   2   0   H
E0   2011-08-28   Man United   Arsenal   8   2   H
E0   2011-08-28   Newcastle   Fulham   2   1   H
E0   2011-08-28   Tottenham   Man City   1   5   A
E0   2011-08-28   West Brom   Stoke   0   1   A
E0   2011-09-10   Arsenal   Swansea   1   0   H
E0   2011-09-10   Bolton   Man United   0   5   A
E0   2011-09-10   Everton   Aston Villa   2   2   D
E0   2011-09-10   Man City   Wigan   3   0   H
E0   2011-09-10   Stoke   Liverpool   1   0   H
E0   2011-09-10   Sunderland   Chelsea   1   2   A
E0   2011-09-10   Wolves   Tottenham   0   2   A
E0   2011-09-11   Fulham   Blackburn   1   1   D
E0   2011-09-11   Norwich   West Brom   0   1   A
E0   2011-09-12   QPR   Newcastle   0   0   D
E0   2010-08-28   Man United   West Ham   3   0   H
E0   2010-08-28   Tottenham   Wigan   0   1   A
E0   2010-08-28   Wolves   Newcastle   1   1   D
E0   2010-08-29   Aston Villa   Everton   1   0   H
E0   2010-08-29   Bolton   Birmingham   2   2   D
E0   2010-08-29   Liverpool   West Brom   1   0   H
E0   2010-08-29   Sunderland   Man City   1   0   H
E0   2010-09-11   Arsenal   Bolton   4   1   H
E0   2010-09-11   Everton   Man United   3   3   D
E0   2010-09-11   Fulham   Wolves   2   1   H
E0   2010-09-11   Man City   Blackburn   1   1   D
E0   2010-09-11   Newcastle   Blackpool   0   2   A
E0   2010-09-11   West Brom   Tottenham   1   1   D
E0   2010-09-11   West Ham   Chelsea   1   3   A
E0   2010-09-11   Wigan   Sunderland   1   1   D
E0   2010-09-12   Birmingham   Liverpool   0   0   D
E0   2010-09-13   Stoke   Aston Villa   2   1   H
E0   2010-09-18   Aston Villa   Bolton   1   1   D
E0   2010-09-18   Blackburn   Fulham   1   1   D
E0   2010-09-18   Everton   Newcastle   0   1   A
E0   2010-09-18   Stoke   West Ham   1   1   D
E0   2009-08-23   West Ham   Tottenham   1   2   A
E0   2009-08-24   Liverpool   Aston Villa   1   3   A
E0   2009-08-29   Blackburn   West Ham   0   0   D
E0   2009-08-29   Bolton   Liverpool   2   3   A
E0   2009-08-29   Chelsea   Burnley   3   0   H
E0   2009-08-29   Man United   Arsenal   2   1   H
E0   2009-08-29   Stoke   Sunderland   1   0   H
E0   2009-08-29   Tottenham   Birmingham   2   1   H
E0   2009-08-29   Wolves   Hull   1   1   D
E0   2009-08-30   Aston Villa   Fulham   2   0   H
E0   2009-08-30   Everton   Wigan   2   1   H
E0   2009-08-30   Portsmouth   Man City   0   1   A
E0   2009-09-12   Blackburn   Wolves   3   1   H
E0   2009-09-12   Liverpool   Burnley   4   0   H
E0   2009-09-12   Man City   Arsenal   4   2   H
E0   2009-09-12   Portsmouth   Bolton   2   3   A
E0   2009-09-12   Stoke   Chelsea   1   2   A
E0   2009-09-12   Sunderland   Hull   4   1   H
E0   2009-09-12   Tottenham   Man United   1   3   A
E0   2009-09-12   Wigan   West Ham   1   0   H
E0   2009-09-13   Birmingham   Aston Villa   0   1   A
E0   2012-09-01   West Ham   Fulham   3   0   H
E0   2012-09-01   Wigan   Stoke   2   2   D
E0   2012-09-02   Liverpool   Arsenal   0   2   A
E0   2012-09-02   Newcastle   Aston Villa   1   1   D
E0   2012-09-02   Southampton   Man United   2   3   A
E0   2012-09-15   Arsenal   Southampton   6   1   H
E0   2012-09-15   Aston Villa   Swansea   2   0   H
E0   2012-09-15   Fulham   West Brom   3   0   H
E0   2012-09-15   Man United   Wigan   4   0   H
E0   2012-09-15   Norwich   West Ham   0   0   D
E0   2012-09-15   QPR   Chelsea   0   0   D
E0   2012-09-15   Stoke   Man City   1   1   D
E0   2012-09-15   Sunderland   Liverpool   1   1   D
E0   2012-09-16   Reading   Tottenham   1   3   A
E0   2012-09-17   Everton   Newcastle   2   2   D
E0   2012-09-22   Chelsea   Stoke   1   0   H
E0   2012-09-22   Southampton   Aston Villa   4   1   H
E0   2012-09-22   Swansea   Everton   0   3   A
E0   2012-09-22   West Brom   Reading   1   0   H
E0   2012-09-22   West Ham   Sunderland   1   1   D
E0   2012-09-22   Wigan   Fulham   1   2   A
E0   2013-08-31   West Ham   Stoke   0   1   A
E0   2013-09-01   Arsenal   Tottenham   1   0   H
E0   2013-09-01   Liverpool   Man United   1   0   H
E0   2013-09-01   West Brom   Swansea   0   2   A
E0   2013-09-14   Aston Villa   Newcastle   1   2   A
E0   2013-09-14   Everton   Chelsea   1   0   H
E0   2013-09-14   Fulham   West Brom   1   1   D
E0   2013-09-14   Hull   Cardiff   1   1   D
E0   2013-09-14   Man United   Crystal Palace   2   0   H
E0   2013-09-14   Stoke   Man City   0   0   D
E0   2013-09-14   Sunderland   Arsenal   1   3   A
E0   2013-09-14   Tottenham   Norwich   2   0   H
E0   2013-09-15   Southampton   West Ham   0   0   D
E0   2013-09-16   Swansea   Liverpool   2   2   D
E0   2013-09-21   Chelsea   Fulham   2   0   H
E0   2013-09-21   Liverpool   Southampton   0   1   A
E0   2013-09-21   Newcastle   Hull   2   3   A
E0   2013-09-21   Norwich   Aston Villa   0   1   A
E0   2013-09-21   West Brom   Sunderland   3   0   H
E0   2013-09-21   West Ham   Everton   2   3   A
E0   2013-09-22   Arsenal   Stoke   3   1   H
E0   2013-09-22   Cardiff   Tottenham   0   1   A
E0   2013-09-22   Crystal Palace   Swansea   0   2   A
E0   2011-09-17   Aston Villa   Newcastle   1   1   D
E0   2011-09-17   Blackburn   Arsenal   4   3   H
E0   2011-09-17   Bolton   Norwich   1   2   A
E0   2011-09-17   Everton   Wigan   3   1   H
E0   2011-09-17   Swansea   West Brom   3   0   H
E0   2011-09-17   Wolves   QPR   0   3   A
E0   2011-09-18   Fulham   Man City   2   2   D
E0   2011-09-18   Man United   Chelsea   3   1   H
E0   2011-09-18   Sunderland   Stoke   4   0   H
E0   2011-09-18   Tottenham   Liverpool   4   0   H
E0   2011-09-24   Arsenal   Bolton   3   0   H
E0   2011-09-24   Chelsea   Swansea   4   1   H
E0   2011-09-24   Liverpool   Wolves   2   1   H
E0   2011-09-24   Man City   Everton   2   0   H
E0   2011-09-24   Newcastle   Blackburn   3   1   H
E0   2011-09-24   Stoke   Man United   1   1   D
E0   2011-09-24   West Brom   Fulham   0   0   D
E0   2011-09-24   Wigan   Tottenham   1   2   A
E0   2011-09-25   QPR   Aston Villa   1   1   D
E0   2011-09-26   Norwich   Sunderland   2   1   H
E0   2011-10-01   Aston Villa   Wigan   2   0   H
E0   2011-10-01   Blackburn   Man City   0   4   A
E0   2011-10-01   Everton   Liverpool   0   2   A
E0   2011-10-01   Man United   Norwich   2   0   H
E0   2011-10-01   Sunderland   West Brom   2   2   D
E0   2011-10-01   Wolves   Newcastle   1   2   A
E0   2011-10-02   Bolton   Chelsea   1   5   A
E0   2011-10-02   Fulham   QPR   6   0   H
E0   2011-10-02   Swansea   Stoke   2   0   H
E0   2011-10-02   Tottenham   Arsenal   2   1   H
E0   2011-10-15   Chelsea   Everton   3   1   H
E0   2010-09-18   Sunderland   Arsenal   1   1   D
E0   2010-09-18   Tottenham   Wolves   3   1   H
E0   2010-09-18   West Brom   Birmingham   3   1   H
E0   2010-09-19   Chelsea   Blackpool   4   0   H
E0   2010-09-19   Man United   Liverpool   3   2   H
E0   2010-09-19   Wigan   Man City   0   2   A
E0   2010-09-25   Arsenal   West Brom   2   3   A
E0   2010-09-25   Birmingham   Wigan   0   0   D
E0   2010-09-25   Blackpool   Blackburn   1   2   A
E0   2010-09-25   Fulham   Everton   0   0   D
E0   2010-09-25   Liverpool   Sunderland   2   2   D
E0   2010-09-25   Man City   Chelsea   1   0   H
E0   2010-09-25   West Ham   Tottenham   1   0   H
E0   2010-09-26   Bolton   Man United   2   2   D
E0   2010-09-26   Newcastle   Stoke   1   2   A
E0   2010-09-26   Wolves   Aston Villa   1   2   A
E0   2010-10-02   Birmingham   Everton   0   2   A
E0   2010-10-02   Stoke   Blackburn   1   0   H
E0   2010-10-02   Sunderland   Man United   0   0   D
E0   2010-10-02   Tottenham   Aston Villa   2   1   H
E0   2010-10-02   West Brom   Bolton   1   1   D
E0   2010-10-02   West Ham   Fulham   1   1   D
E0   2010-10-02   Wigan   Wolves   2   0   H
E0   2010-10-03   Chelsea   Arsenal   2   0   H
E0   2010-10-03   Liverpool   Blackpool   1   2   A
E0   2010-10-03   Man City   Newcastle   2   1   H
E0   2010-10-16   Arsenal   Birmingham   2   1   H
E0   2010-10-16   Aston Villa   Chelsea   0   0   D
E0   2010-10-16   Bolton   Stoke   2   1   H
E0   2010-10-16   Fulham   Tottenham   1   2   A
E0   2010-10-16   Man United   West Brom   2   2   D
E0   2010-10-16   Newcastle   Wigan   2   2   D
E0   2009-09-13   Fulham   Everton   2   1   H
E0   2009-09-19   Arsenal   Wigan   4   0   H
E0   2009-09-19   Aston Villa   Portsmouth   2   0   H
E0   2009-09-19   Bolton   Stoke   1   1   D
E0   2009-09-19   Burnley   Sunderland   3   1   H
E0   2009-09-19   Hull   Birmingham   0   1   A
E0   2009-09-19   West Ham   Liverpool   2   3   A
E0   2009-09-20   Chelsea   Tottenham   3   0   H
E0   2009-09-20   Everton   Blackburn   3   0   H
E0   2009-09-20   Man United   Man City   4   3   H
E0   2009-09-20   Wolves   Fulham   2   1   H
E0   2009-09-26   Birmingham   Bolton   1   2   A
E0   2009-09-26   Blackburn   Aston Villa   2   1   H
E0   2009-09-26   Fulham   Arsenal   0   1   A
E0   2009-09-26   Liverpool   Hull   6   1   H
E0   2009-09-26   Portsmouth   Everton   0   1   A
E0   2009-09-26   Stoke   Man United   0   2   A
E0   2009-09-26   Tottenham   Burnley   5   0   H
E0   2009-09-26   Wigan   Chelsea   3   1   H
E0   2009-09-27   Sunderland   Wolves   5   2   H
E0   2009-09-28   Man City   West Ham   3   1   H
E0   2009-10-03   Bolton   Tottenham   2   2   D
E0   2009-10-03   Burnley   Birmingham   2   1   H
E0   2009-10-03   Hull   Wigan   2   1   H
E0   2009-10-03   Man United   Sunderland   2   2   D
E0   2009-10-03   Wolves   Portsmouth   0   1   A
E0   2009-10-04   Arsenal   Blackburn   6   2   H
E0   2009-10-04   Chelsea   Liverpool   2   0   H
E0   2009-10-04   Everton   Stoke   1   1   D
E0   2009-10-04   West Ham   Fulham   2   2   D
E0   2009-10-05   Aston Villa   Man City   1   1   D
E0   2011-10-15   Liverpool   Man United   1   1   D
E0   2011-10-15   Man City   Aston Villa   4   1   H
E0   2011-10-15   Norwich   Swansea   3   1   H
E0   2011-10-15   QPR   Blackburn   1   1   D
E0   2011-10-15   Stoke   Fulham   2   0   H
E0   2011-10-15   Wigan   Bolton   1   3   A
E0   2011-10-16   Arsenal   Sunderland   2   1   H
E0   2011-10-16   Newcastle   Tottenham   2   2   D
E0   2011-10-16   West Brom   Wolves   2   0   H
E0   2011-10-22   Aston Villa   West Brom   1   2   A
E0   2011-10-22   Bolton   Sunderland   0   2   A
E0   2011-10-22   Liverpool   Norwich   1   1   D
E0   2011-10-22   Newcastle   Wigan   1   0   H
E0   2011-10-22   Wolves   Swansea   2   2   D
E0   2011-10-23   Arsenal   Stoke   3   1   H
E0   2011-10-23   Blackburn   Tottenham   1   2   A
E0   2012-09-23   Liverpool   Man United   1   2   A
E0   2012-09-23   Man City   Arsenal   1   1   D
E0   2012-09-23   Newcastle   Norwich   1   0   H
E0   2012-09-23   Tottenham   QPR   2   1   H
E0   2012-09-29   Arsenal   Chelsea   1   2   A
E0   2012-09-29   Everton   Southampton   3   1   H
E0   2012-09-29   Fulham   Man City   1   2   A
E0   2012-09-29   Man United   Tottenham   2   3   A
